uic_number;coachgroup;given_name;special_features;comments
;ICE1175;Villingen-Schwenningen;;
;ICE1176;Coburg;;
;ICE1177;Rathenow;;
;ICE1178;Ostseebad Warnemünde;;
;ICE1180;Darmstadt;;
;ICE1181;Horb am Neckar;;
;ICE1182;Mainz;;
;ICE1183;Oberursel (Taunus);;
;ICE1184;Kaiserslautern;;
;ICE1190;Wien;;
;ICE1191;Salzburg;;
;ICE1192;Linz;;
;ICE1501;Eisenach;;
;ICE1502;Karlsruhe;;
;ICE1503;Altenbeken;;
;ICE1504;Heidelberg;;
;ICE1505;Marburg/Lahn;;
;ICE1506;Kassel;;
;ICE1520;Gotha;;
;ICE1521;Homburg/Saar;;
;ICE1522;Torgau;;
;ICE1523;Hansestadt Greifswald;;
;ICE1524;Hansestadt Rostock;;
;ICE2853;Nationalpark Sächsische Schweiz;;
;ICE2865;Remstal;;
;ICE2868;Nationalpark Niedersächsisches Wattenmeer;;
;ICE2871;Leipziger Neuseenland;;
;ICE2874;Oberer Neckar;;
;ICE2875;Magdeburger Börde;;
;ICE4893;Bodetal;;
;ICE4898;Lahntal;;
;ICE4102;Naturpark Schönbuch;;
;ICE4103;Allgäu;;
;ICE4108;Hegau;;
;ICE4111;Gäu;;
;ICE4114;Dresden Elbland;;
;ICE4117;Mecklenburgische Ostseeküste;;
;ICE4601;Europa/Europe;;
;ICE4602;Euregio Maas-Rhein;;
;ICE4603;Mannheim;;
;ICE4604;Brussel/Bruxelles;;
;ICE4607;Hannover;;
;ICE4610;Frankfurt am Main;;
;ICE4651;Amsterdam;;
;ICE4652;Arnhem;;
;ICE4680;Würzburg;;
;ICE4682;Köln;;
;ICE4683;Limburg an der Lahn;;
;ICE4684;Forbach-Lorraine;;
;ICE4685;Schwäbisch Hall;;
;ICE4712;Dillingen a.d. Donau;;
;ICE4710;Ansbach;;
;ICE4717;Paris;;
;ICE8007;Rheinland;;
;ICE8019;Düsseldorf;;
;ICE8020;Amsterdam;;
;ICE8022;Waldecker Land;;
;ICE8029;Europa/Europe;;
;ICE9006;Martin Luther;;
;ICE9018;Freistaat Bayern;;
;ICE9025;Nordrhein-Westfalen;;
;ICE9026;Zürichsee;;
;ICE9028;Freistaat Sachsen;;
;ICE9041;Baden-Württemberg;;
;ICE9046;Female ICE;;
;ICE9050;Metropole Ruhr;;
;ICE9202;Schleswig-Holstein;;
;ICE9208;Nationalpark Bayerischer Wald;;
;ICE9234;Ruhr;;
;ICE9237;Spree;;
;ICE9457;Bundesrepublik Deutschland;;
;ICE9481;Rheinland-Pfalz;;
93805403022;ICE0310;Wolfsburg;;
94800423094;T0423094;;Karriere-S-Bahn München (orange);
94800423214;T0423214;;Karriere-S-Bahn München (violett);
94800423286;T0423286;;Zug der Vielfalt;
94800430077;T0430077;;Karriere-S-Bahn Stuttgart;
94800430087;T0430087;;Karriere-S-Bahn Stuttgart;
95800650501;;Wartburgstadt Eisenach;;
95800650502;;Theaterstadt Meiningen, Dampflokwelt;;
95800650503;;Heilklimatischer Kurort Friedrichroda / Marienglashöhle;;
95800650504;;Steinach;;
95800650506;;Bad Salzungen – grüne Stadt mit starker Sole;;
95800650509;;Stadt Schalkau;;
95800650519;;RennsteigShuttle: Nimm den Zug zum Rennsteig;;
95800650571;;Oberharmersbach;;
95800650572;;Oberkirch;;
95800650573;;Kappelrodeck;;
95800650574;;Oppenau;;
95800650575;;Achern;;
95800650576;;Bad Peterstal-Griesbach;;
95800650577;;Haslach;Außenwerbung E-Werk Mittelbaden;
95800650578;;Zell a.H.;;
95800650579;;Steinach;;
95800650580;;Hausach;;
95800650581;;Ottenhöfen;;
95800650582;;Offenburg;;
95800650583;;Kehl;;
95800650584;;Gengenbach;;
95800650585;;Lautenbach;;
95800650586;;Biberach;;
95800650587;;Willstätt;;
95800650588;;Appenweier;;
95800650589;;Wolfach;;
95800650590;;Schiltach;Außenwerbung Hansgrohe;
95800650591;;Schenkenzell;;
95800650592;;Freudenstadt;;
95800650593;;Alpirsbach;;
95800650594;;Loßburg;;
95800650039;;Elzach;;
95800650601;;Vogtsburg;;
94800563001;T0563001;Offenburg;;
94800563002;T0563002;;Tesla GigaTrain;
94800563003;T0563003;Ottenhöfen;;
94800563006;T0563006;;Tesla GigaTrain;
